"Table 6P.7a - List of ICD-10-PCS procedure codes reassigned to MS-DRGs 510, 511, 512, 513, 514, 515, 516, and 517"			
ICD-10-PCS Procedure Code 	Description	FY 2026 MS-DRG Assignment 	
0RJF4ZZ	"Inspection of left sternoclavicular joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJG4ZZ	"Inspection of right acromioclavicular joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJH4ZZ	"Inspection of left acromioclavicular joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJJ4ZZ	"Inspection of right shoulder joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJK4ZZ	"Inspection of left shoulder joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJL4ZZ	"Inspection of right elbow joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJM4ZZ	"Inspection of left elbow joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJN4ZZ	"Inspection of right wrist joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJP4ZZ	"Inspection of left wrist joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJQ4ZZ	"Inspection of right carpal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJR4ZZ	"Inspection of left carpal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJS4ZZ	"Inspection of right carpometacarpal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJT4ZZ	"Inspection of left carpometacarpal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJU4ZZ	"Inspection of right metacarpophalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJV4ZZ	"Inspection of left metacarpophalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJW4ZZ	"Inspection of right finger phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0RJX4ZZ	"Inspection of left finger phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 513-514 (Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC and without CC/MCC, respectively )"	
0SJ04ZZ	"Inspection of lumbar vertebral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ34ZZ	"Inspection of lumbosacral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ54ZZ	"Inspection of sacrococcygeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ64ZZ	"Inspection of coccygeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ74ZZ	"Inspection of right sacroiliac joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ84ZZ	"Inspection of left sacroiliac joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJ94ZZ	"Inspection of right hip joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJB4ZZ	"Inspection of left hip joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJC4ZZ	"Inspection of right knee joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJD4ZZ	"Inspection of left knee joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJF4ZZ	"Inspection of right ankle joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJG4ZZ	"Inspection of left ankle joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJH4ZZ	"Inspection of right tarsal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJJ4ZZ	"Inspection of left tarsal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJK4ZZ	"Inspection of right tarsometatarsal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJL4ZZ	"Inspection of left tarsometatarsal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJM4ZZ	"Inspection of right metatarsal-phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJN4ZZ	"Inspection of left metatarsal-phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJP4ZZ	"Inspection of right toe phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0SJQ4ZZ	"Inspection of left toe phalangeal joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
